,Brands,Owner,Female,POC,Year Founded,Product Type,Number of Products,Clean Brand
543,Wakse,Shayan Sadrolashrafi and Andrew Glass,False,False,2018,"Bath & Body ,Skin Care",22,False
544,We Are Paradoxx,Yolanda Cooper,True,False,2019,"Hair ,Bath & Body ,Skin Care ,Gifts",13,True
545,Well People,Shirley Pinkson,True,False,2009,"Makeup ,Skin Care ,Tools & Brushes ,Gifts",27,False
546,Wella,Franz Ströher,False,False,1880,"Shampoo & Conditioner ,Styling Products ,Treatment ,Travel Size",63,False
547,Wet n Wild,George Millay,False,False,1984,"Makeup ,Tools & Brushes ,Skin Care ,Gifts",85,False
548,Wigo,Ben Kaplan,False,False,2014,,13,False
549,WLDKAT,Amy Zunzunegui,True,False,2019,"Skin Care ,Gifts ,Bath & Body",14,True
550,Wunder2,Michael Malinsky,False,False,2015,"Makeup ,Skin Care",5,False
551,YUNI,Emmanuel Rey,False,False,2015,"Face Mists & Essences ,Face Oils",2,True
552,Yves Saint Laurent,Yves Saint Laurent and Pierre Bergé,False,False,1961,"Fragrance ,Men ,Gifts",25,False
553,ZitSticka,Daniel Kaplan and Robbie Miller,False,False,2017,"Skin Care ,Bath & Body",10,True
554,Zoya,Saad Malik,True,True,1986,"Top & Base Coats ,Nail Care ,Nail Polish",6,False
555,18.21 Man Made,"Angel del Solar, Aston LaFon and David del Solar",False,False,2013,"Hair ,Body Care ,Shaving ,Skin Care ,Travel Size",14,False
