,Brands,Owner,Female,POC,Year Founded,Product Type,Number of Products,Clean Brand
342,Michael Todd Beauty,Lewis Hendler,False,False,2008,"Tools & Brushes ,Skin Care ,Bath & Body ,Nails",20,False
343,Mielle Organics,Monique Rodriquez,True,True,2020,"Shampoo & Conditioner ,Treatment ,Styling Products",8,False
344,Milani,Laurie Minc,True,False,2001,"Makeup ,Skin Care ,Gifts ,Tools & Brushes",85,False
345,Milk + Honey,Alissa Bayer,True,True,2014,"Bath & Body ,Men ,Skin Care ,Gifts ,Fragrance",28,True
346,Miss Spa,Kate Kimmerle,True,False,2012,"Skin Care ,Gifts ,Bath & Body",55,True
347,Mixed Chicks,Kim Etheredge and Wendi Levy Kaaya,True,True,2004,"Shampoo & Conditioner ,Styling Products ,Treatment",10,True
348,MONDAY Haircare,Jaimee Lupton,True,False,2021,"Conditioner ,Shampoo",10,False
349,Moon,Kenneth Kruger,False,False,2018,"Bath & Body ,Gifts",18,False
350,Morgan Taylor,Danny Haile,True,True,2007,"Nail Polish ,Top & Base Coats",4,False
351,Morphe,	Chris Tawli and Linda Tawli,True,False,2008,"Makeup, Tools & Brushes, Gifts, Skin Care, Bath & Body",183,False
352,Moschino,Franco Moschino,False,False,1983,"Fragrance ,Men",5,False
353,MUGLER,Thierry Mugler,False,False,1973,"Perfume ,Rollerballs & Purse Sprays",14,False
354,Murad,Howard Murad,False,True,1989,"Skin Care, Gifts, Men, Bath & Body",58,False
355,My Clarins,Jacques Courtin-Clarins,False,False,1954,"Skin Care ,Gifts ,Makeup",13,False
356,MyChelle,Myra Michelle Eby,True,False,2000,,1,True
357,Mydentity,Guy Tang,False,False,2017,"Styling Products ,Shampoo & Conditioner ,Hair Color",7,False
358,NABLA,Alexandre Lebrun and Surge Biswas,False,False,2020,"Makeup ,Gifts",21,False
359,Nads Natural,Sue Ismiel,True,False,1992,"Bath & Body ,Gifts",13,False
360,Nail Tek,Thi Hoang,False,True,2008,"Nails ,Bath & Body",7,False
361,Nailtopia,Amy Nguyen,True,True,2017,"Nails ,Gifts",31,True
362,Nair,"
Benjamin Nair",False,False,1972,"Body Moisturizers ,Bath & Shower",12,True
363,NARS,François Nars,False,False,1994,"Makeup ,Gifts ,Skin Care",43,False
364,Naturalicious,Gwen Jimmere,True,True,2013,"Hair ,Gifts",11,True
365,Nemat,Mike Nemat,False,False,1994,"Fragrance ,Gifts",4,True
366,NEST Fragrances,Laura Slatkin,True,False,2008,"Fragrance ,Gifts ,Bath & Body",14,False
367,Neutrogena,Emanuel Stolaroff,False,False,1930,"Skin Care ,Bath & Body ,Makeup ,Tools & Brushes",94,False
368,Nexxus,Jheri Redding,False,False,1979,"Shampoo & Conditioner ,Treatment ,Styling Products",20,False
369,Nioxin,Eva Graham,True,False,1987,"Hair, Men, Gifts",50,False
370,Nivea,Oscar Troplowitz,False,False,1911,"Bath & Body ,Skin Care ,Men",13,False
371,No7,"
Florence Boot",True,False,1935,"Skin Care, Gifts, Makeup, Nails, Bath & Body",46,False
372,Not Your Mother's,Bethany Pagliarulo,True,False,2010,"Hair, Gifts",78,False
373,Noughty,Rachel Parsonage and Lorna Mitchell,True,False,2016,"Shampoo & Conditioner ,Treatment ,Styling Products",27,False
374,noyah,Joshua Gordon,False,False,2014,"Skin Care ,Gifts",2,False
375,Nude Sugar,Toni Braxton,True,True,2021,"Bath & Body ,Skin Care ,Fragrance",9,False
376,NUDESTIX,Jenny Frankel and Taylor Frankel,True,False,2013,"Makeup ,Skin Care ,Gifts",38,True
377,Nurse Jamie,Jamie Sue Sherrill,True,False,2008,"Skin Care ,Tools & Brushes ,Bath & Body",7,False
378,NYX Professional Makeup,Toni Ko,True,True,1999,"Makeup, Gifts, Tools & Brushes, Skin Care",144,False
379,N°1 DE CHANEL,Olivier Polge,True,False,2022,"Skin Care ,Makeup ,Gifts ,Bath & Body",9,True
380,Ofra Cosmetics,Ofra and David Gaito,True,False,1994,"Makeup ,Gifts ,Skin Care ,Tools & Brushes",45,False
381,OGX,Todd Christopher,False,False,1984,"Shampoo & Conditioner, Styling Products, Treatment",45,False
382,Oh K!,Kim Chi,True,True,2015,"Skin Care ,Bath & Body",16,False
383,OLAPLEX,Dr. Eric Pressly and Dr. Craig Hawker,False,False,2014,"Hair ,Gifts",8,False
384,Olay,Graham Wulff,False,False,1952,"Skin Care ,Bath & Body ,Tools & Brushes",29,False
385,Olivia Garden,Jean & Micheline Rennette,True,False,1967,,43,False
386,One Love Organics,Suzanne LeRoux,True,False,2010,"Skin Care ,Tools & Brushes ,Bath & Body",16,True
387,OPI,George Schaeffer,False,False,1981,"Nails, Gifts, Bath & Body",54,False
388,ORA,Will Smelko and Ronald Chang,False,False,2002,,2,False
389,Oral-B,Robert W. Hutson,False,False,1950,Gifts,3,False
390,Origins,Leonard Lauder,False,False,1990,"Skin Care, Gifts, Makeup, Bath & Body",50,True
391,Orly,Jeff Pink,False,False,1975,"Nails ,Gifts",18,False
392,OSEA,Jenefer Palmer,True,False,1982,"Skin Care ,Gifts ,Bath & Body ,Makeup",13,True
393,Ouidad,Ouidad and Peter Wise,True,True,1983,"Hair ,Tools & Brushes ,Gifts",77,False
394,Pacifica,Brook Harvey-Taylor and Billy Taylor,True,False,1996,"Skin Care ,Bath & Body ,Makeup ,Fragrance ,Gifts ,Hair ,Nails ,Tools & Brushes",226,True
395,Paco Rabanne,Paco Rabanne,False,False,1966,"Fragrance ,Men ,Gifts",11,False
396,Parissa,Azar Moayeri,True,True,1983,"Bath & Body ,Tools & Brushes ,Skin Care",15,True
397,Patchology,Chris Hobson,False,False,2006,"Skin Care ,Gifts ,Bath & Body",40,False
398,PATTERN,Dave Wright and Melanie Alder,False,False,2013,"Hair, Tools & Brushes, Gifts, Bath & Body",50,False
399,Paul Mitchell,John Paul DeJoria and Paul Mitchell,False,False,1980,"Hair, Gifts, Men, Tools & Brushes, Bath & Body, Fragrance",159,False
400,PEACH & LILY,Alicia Yoon,True,True,2012,"Skin Care ,Gifts ,Makeup ,Bath & Body",24,False
401,Peach Slices,Alicia Yoon,True,True,2012,"Skin Care ,Gifts",13,True
402,Persona,Rick Song and Charles Yeh,False,True,2015,"Makeup ,Gifts ,Tools & Brushes",16,False
403,Peter Thomas Roth,Peter Thomas Roth,False,False,1993,"Skin Care, Gifts, Men, Makeup, Bath & Body",59,False
404,Petite n Pretty,Samantha Cutler,True,False,2018,"Makeup ,Gifts ,Tools & Brushes ,Skin Care ,Hair ,Fragrance",31,False
405,Philosophy,Cristina Carlino,True,False,1996,"Skin Care, Fragrance, Bath & Body, Gifts, Hair, Nails, Makeup",106,False
406,Physicians Formula,Frank Crandall,False,False,1937,"Makeup ,Gifts ,Skin Care",25,True
407,Pipette,Alex Spector,False,False,1996,"Bath & Body ,Skin Care ,Hair ,Gifts",25,True
408,Pirette,Griffin Coon,False,False,2014,"Fragrance ,Bath & Body ,Gifts ,Hair",9,False
409,PMD,Philippe d'Offay,False,False,1998,"Skin Care ,Tools & Brushes ,Bath & Body ,Men ,Makeup",29,False
410,Polder,Jennifer Hofmeijer,True,False,2016,,1,False
411,Poo~Pourri,Suzy Batiz,True,False,2007,"Self Care & Wellness ,Bath & Body Accessories ,Travel Size",5,True
412,Prada,Mario Prada,False,False,1913,"Fragrance ,Men",12,False
413,Pravana,Steve Goddard,False,False,2004,"Shampoo & Conditioner ,Travel Size ,Treatment",22,False
414,Proactiv,Katie Rodan and Kathy Fields,True,False,1995,"Skin Care ,Men ,Gifts ,Bath & Body",23,False
415,Punky Colour,Jerome Russell,False,False,1992,"Hair Color ,Shampoo & Conditioner",6,False
