Brand Name,Owner,Female,POC,Year Founded,Product Types,Number of Products,Number of Clean,Percent Clean
DERMAFLASH,Dara Levy,TRUE,FALSE,2015,"Skincare, Tools & Brushes",5,0,0.00
Dermalogica,Jane Wurwand and Raymond Wurwand,TRUE,FALSE,1986,"Skincare, Bath & Body, Makeup",49,0,0.00
DevaCurl,Lorraine Massey,TRUE,FALSE,1994,"Hair, Tools & Brushes",37,0,0.00
Dior,Pamela Baxter,TRUE,FALSE,1946,"Makeup, Skincare, Fragrance, Bath & Body, Tools & Brushes",150,0,0.00
DOLCE&GABBANA,Domenico Dolce and Stefano Gabbana,FALSE,FALSE,1990,"Fragrance, Bath & Body",35,0,0.00
DOMINIQUE COSMETICS,Christen Dominique,TRUE,FALSE,2018,Makeup,2,0,0.00
Donna Karan,Donna Karan,TRUE,FALSE,1984,"Fragrance, Bath & Body",6,0,0.00
dpHUE,Donna Pohlad and Justin Anderson,TRUE,FALSE,2010,Hair,29,0,0.00
Dr. Barbara Sturm,Marla Malcolm Beck,TRUE,FALSE,2018,"Skincare, Bath & Body",44,0,0.00
Dr. Brandt Skincare,Stéphane Colleu,FALSE,FALSE,2000,"Skincare, Bath & Body, Makeup",30,0,0.00
Dr. Dennis Gross Skincare,Dennis Gross,FALSE,FALSE,2000,"Skincare, Tools & Brushes, Bath & Body, Makeup",45,0,0.00
Dr. Jart+,Lee Jin-wook,FALSE,TRUE,2004,"Skincare, Bath & Body, Makeup",34,0,0.00
Dr. Lara Devgan Scientific Beauty,Lara Devgan,TRUE,TRUE,2018,"Skincare, Makeup",10,0,0.00
Dr. Zenovia Skincare,Dr. Zenovia,TRUE,FALSE,2020,"Skincare, Bath & Body",13,0,0.00
Drunk Elephant,Tiffany Masterson,TRUE,FALSE,2013,"Skincare, Hair, Bath & Body, Makeup",47,0,0.00
Drybar,Alli Webb,TRUE,FALSE,2010,"Hair, Tools & Brushes",68,0,0.00
DUO,Arnold and Sydell Miller ,FALSE,FALSE,1971,Makeup,1,0,0.00
Dyson,James Dyson,FALSE,FALSE,1991,"Hair, Tools & Brushes",11,0,0.00
EADEM,Alice Lin Glover and Marie Kouadio Amouzame,TRUE,TRUE,2018,Skincare,2,2,1.00
Edible Beauty,Anna Mitsios,TRUE,FALSE,2014,Skincare,3,3,1.00
Eight & Bob,Albert Fouquet,FALSE,FALSE,1937,Fragrance,1,0,0.00
Ellis Brooklyn,Bee Shapiro,TRUE,TRUE,2014,"Fragrance, Skincare, Bath & Body",32,0,0.00
Erno Laszlo,Charles Denton,FALSE,FALSE,1927,Skincare,3,0,0.00
Estée Lauder,Estée Lauder and Joseph Lauder,TRUE,FALSE,1946,"Makeup, Skincare, Bath & Body",54,0,0.00
Evian,Antoine Riboud,FALSE,FALSE,1829,Skincare,3,1,0.33
Fable & Mane,Akash Mehta,FALSE,TRUE,2020,"Hair, Tools & Brushes",10,5,0.50
FaceGym,Inge Theron,TRUE,FALSE,2015,"Skincare, Tools & Brushes",13,10,0.77
Farmacy,David Chung,FALSE,TRUE,2015,"Skincare, Bath & Body, Makeup",28,24,0.86
Fashion Fair,Eunice Johnson,TRUE,TRUE,1973,Makeup,6,0,0.00
Fenty Beauty by Rihanna,Robyn Rihanna Fenty,TRUE,TRUE,2017,"Makeup, Skincare, Bath & Body, Tools & Brushes",79,0,0.00
Fenty Skin,Robyn Rihanna Fenty,TRUE,TRUE,2021,"Skincare, Bath & Body, Makeup",19,15,0.79
