Brand Name,Owner,Female,POC,Year Founded,Product Types,Number of Products,Number of Clean,Percent Clean
SOBEL SKIN Rx,Howard Sobel,FALSE,FALSE,1991,Skincare,7,6,0.86
Sol de Janeiro,Heela Yang,TRUE,TRUE,2015,"Skincare, Bath & Body, Hair, Fragrance, Makeup",36,1,0.03
St. Tropez,Judy Naake,TRUE,FALSE,2007,"Skincare, Bath & Body",22,0,0.00
stackedskincare,Kerry Benjamin,TRUE,FALSE,2014,"Skincare, Tools & Brushes",7,3,0.43
stila,Jeanine Lobell,TRUE,FALSE,1994,Makeup,9,0,0.00
StriVectin,Joan Sing Malloy,TRUE,TRUE,2002,"Skincare, Bath & Body, Makeup",20,0,0.00
Sulwhasoo,Sung-hwan Suh,FALSE,TRUE,1966,Skincare,21,0,0.00
Summer Fridays,Marianna Hewitt and Lauren Gore,TRUE,FALSE,2017,"Skincare, Bath & Body, Fragrance, Makeup",14,12,0.86
SUNDAY II SUNDAY,Keenan Beasley,FALSE,TRUE,2020,"Skincare, Bath & Body, Hair",8,0,0.00
Sunday Riley,Sunday Riley,TRUE,FALSE,2009,"Skincare, Bath & Body, Hair",23,0,0.00
Supergoop!,Holly Thaggard,TRUE,FALSE,2007,"Skincare, Bath & Body, Makeup, Hair",34,34,1.00
Susteau,Kailey Bradt,TRUE,FALSE,2017,Hair,4,4,1.00
T3,Gay Warren Gaddis,TRUE,FALSE,1989,"Hair, Tools & Brushes",32,0,0.00
TAN-LUXE,"Brendan Heggarty, Marc Elrick, and Joanna Livingstone",TRUE,FALSE,2015,"Skincare, Bath & Body",14,0,0.00
tarte,Maureen Kelly,TRUE,FALSE,2000,"Makeup, Skincare, Bath & Body, Tools & Brushes",151,47,0.31
Tata Harper,Tata and Henry Harper,TRUE,FALSE,2010,"Skincare, Bath & Body",35,34,0.97
Tatcha,Vicky Tsai,TRUE,TRUE,2008,"Skincare, Bath & Body, Makeup, Hair",39,38,0.97
TOCCA,Tommaso Trionfi,FALSE,FALSE,1994,"Fragrance, Bath & Body",33,0,0.00
Together Beauty,Sam Brocato,FALSE,FALSE,2008,Hair,2,2,1.00
TOM FORD,Tom Ford,FALSE,FALSE,2005,"Makeup, Skincare, Fragrance, Tools & Brushes, Bath & Body",108,0,0.00
Too Faced,Jerrod Blandino and Jeremy Johnson,FALSE,FALSE,1998,"Makeup, Skincare,Tools & Brushes",63,0,0.00
Topicals,Olamide Olowe,TRUE,TRUE,2020,"Skincare, Bath & Body",6,4,0.67
Tory Burch,Tory Burch,TRUE,FALSE,2004,Fragrance,3,0,0.00
Touchland﻿NEW,Andrea Lisbona,TRUE,FALSE,2010,Bath & Body,2,2,1.00
Tower 28 Beauty,Amy Liu,TRUE,TRUE,2019,"Makeup, Skincare",8,8,1.00
Tweezerman,Dal LaMagna,FALSE,FALSE,1980,"Skincare, Tools & Brushes, Bath & Body, Makeup",20,0,0.00
Urban Decay,"Wende Zomnir, Sandy Lerner, Patricia L. Holmes, and David Soward",TRUE,FALSE,1996,"Makeup, Skincare,Tools & Brushes",60,0,0.00
Valentino,Valentino Garavani,FALSE,FALSE,1960,"Fragrance, Makeup",26,0,0.00
Vegamour,Daniel Hodgdon,FALSE,FALSE,2016,"Skincare, Bath & Body, Hair, Makeup",11,11,1.00
Velour Lashes,Mabel Lee,TRUE,TRUE,2011,Makeup,14,0,0.00
Verb,Claire Moses,TRUE,FALSE,2009,"Hair, Bath & Body, Tools & Brushes",44,0,0.00
Versace,Gianni Versace,FALSE,FALSE,1978,"Fragrance, Bath & Body",32,0,0.00
Viktor&Rolf,Viktor Horsting and Rolf Snoeren,FALSE,FALSE,1993,"Fragrance, Bath & Body",22,0,0.00
Violet Voss,Paula Hayes,TRUE,FALSE,2018,Makeup,17,0,0.00
Virtue,Melisse Shaban,TRUE,FALSE,2013,Hair,50,0,0.00
Viseart,Gilles Lapalu,FALSE,FALSE,2017,Makeup,7,0,0.00
Vital Proteins,Kurt Seidensticker,FALSE,FALSE,2013,"Skincare, Bath & Body",4,0,0.00
Vitruvi,Sean and Sara Panton,TRUE,FALSE,2014,"Skincare, Bath & Body, Fragrance",12,10,0.83
Volition Beauty,Brandy Hoffman and Patricia Santos,TRUE,TRUE,2016,"Skincare, Bath & Body",12,12,1.00
Voluspa,Troy Arntsen and Traci Arntsen,TRUE,FALSE,1999,"Fragrance, Bath & Body",74,0,0.00
Wander Beauty,Divya Gugnani and Lindsay Ellingson,TRUE,FALSE,2015,"Makeup, Skincare",12,9,0.75
Westman Atelier,Gucci Westman,TRUE,FALSE,2018,"Makeup, Tools & Brushes",21,21,1.00
Wishful,Huda Kattan,TRUE,TRUE,2020,"Skincare, Makeup",12,12,1.00
World of Chris Collins﻿NEW,Chris Collins,FALSE,TRUE,2018,Fragrance,11,0,0.00
Youth To The People,Greg Gonzalez and Joe Cloyes,FALSE,FALSE,2015,"Skincare, Makeup",24,21,0.88
Yves Saint Laurent,Yves Saint Laurent and Pierre Bergé,FALSE,FALSE,1961,"Makeup, Skincare, Fragrance, Bath & Body",69,0,0.00
19-69﻿NEW,Johan Bergelin,FALSE,FALSE,2017,Fragrance,14,0,0.00
54 Thrones,Christina Funke Tegbe,TRUE,TRUE,2016,Bath & Body,3,3,1.00
The 7 Virtues,Barb Stegemann,TRUE,FALSE,2010,"Fragrance, Bath & Body",22,21,0.95
8Greens,Dawn Russell,TRUE,FALSE,2014,"Skincare, Bath & Body",2,0,0.00
