,Brand Name,Owner,Female,POC,Year Founded,Product Types,Number of Products,Number of Clean,Percent Clean,Clean
239,Rosebud Perfume Co.,George F. Smith ,False,False,1895,"Skincare, Makeup",8,8,1.0,True
240,Rossano Ferretti Parma,Rossano Ferretti,True,False,1990,Hair,21,21,1.0,True
241,Saie,Laney Crowell,True,False,2019,"Makeup, Skincare,Tools & Brushes",14,14,1.0,True
242,Saint Jane,Casey Georgeson,True,False,2019,"Skincare, Bath & Body",5,5,1.0,True
243,Sakara Life,Danielle Duboise and Whitney Tingle,True,False,2012,"Skincare, Bath & Body",4,0,0.0,False
244,Selfless by Hyram,Mark Curry,False,False,2021,Skincare,5,5,1.0,True
245,SEPHORA COLLECTION,Dominique Mandonnaud,False,False,1970,"Skincare, Hair, Tools & Brushes, Bath & Body, Makeup, Fragrance",367,50,0.14,True
246,Shani Darden Skin Care,Jessica Alba,True,False,2013,"Skincare, Tools & Brushes",12,0,0.0,False
247,Shiseido,Arinobu Fukuhara,False,True,1872,"Makeup, Skincare, Bath & Body, Tools & Brushes",92,0,0.0,False
248,shu uemura,Shu Uemura,False,True,1967,"Skincare, Hair",46,0,0.0,False
249,SK-II,Calvin Ng,False,True,1980,Skincare,16,0,0.0,False
250,Skin Laundry,Yen Reis,True,True,2013,Skincare,3,0,0.0,False
251,Skinfix,Amy Gordinier,True,False,2012,"Skincare, Bath & Body, Makeup",25,25,1.0,True
252,Skylar﻿NEW,Cat Chen,True,True,2017,"Fragrance, Bath & Body",22,19,0.86,True
253,Slip,Fiona Stewart,True,False,2004,"Skincare, Hair, Tools & Brushes, Fragrance",16,0,0.0,False
254,Smashbox,Davis Factor and Dean Factor,False,False,1996,"Makeup, Skincare",42,0,0.0,False
255,SOBEL SKIN Rx,Howard Sobel,False,False,1991,Skincare,7,6,0.86,True
256,Sol de Janeiro,Heela Yang,True,True,2015,"Skincare, Bath & Body, Hair, Fragrance, Makeup",36,1,0.03,True
257,St. Tropez,Judy Naake,True,False,2007,"Skincare, Bath & Body",22,0,0.0,False
258,stackedskincare,Kerry Benjamin,True,False,2014,"Skincare, Tools & Brushes",7,3,0.43,True
259,stila,Jeanine Lobell,True,False,1994,Makeup,9,0,0.0,False
260,StriVectin,Joan Sing Malloy,True,True,2002,"Skincare, Bath & Body, Makeup",20,0,0.0,False
261,Sulwhasoo,Sung-hwan Suh,False,True,1966,Skincare,21,0,0.0,False
262,Summer Fridays,Marianna Hewitt and Lauren Gore,True,False,2017,"Skincare, Bath & Body, Fragrance, Makeup",14,12,0.86,True
