Brands,Owner,Female,POC,Year Founded,Product Type,Number of Products
"
										Benefit Cosmetics
								",Jean and Jane Ford,TRUE,FALSE,1976,"
Makeup, Gifts, Skin Care, Tools & Brushes",68
"
										Better Not Younger
								",Sonsoles Gonzalez,TRUE,FALSE,2019,"Hair ,Skin Care ,Makeup ,Gifts ,Bath & Body ,Tools & Brushes",20
"
										BH Cosmetics
								",Kirill Trachtenberg,FALSE,FALSE,2009,"Makeup ,Gifts ,Tools & Brushes ,Skin Care",43
"
										Bic
								",Marcel Bich,FALSE,FALSE,1945,"Bath & Body ,Men ,Tools & Brushes ,Makeup",9
"
										Bikini Zone
								",Melissa Gorga,TRUE,FALSE,1996,,3
"
										Billie Eilish
								","
										Billie Eilish
								",TRUE,FALSE,2022,"Fragrance ,Gifts",4
"
										Billy Jealousy
								",Pat Parsi,FALSE,FALSE,2004,"Men ,Gifts ,Hair ,Bath & Body ,Skin Care ,Fragrance",32
"
										Bio Ionic
								",Fernando Romero,FALSE,FALSE,1997,"Tools & Brushes ,Hair ,Gifts",8
"
										Bio-Oil
								",Dieter Beier,FALSE,FALSE,1987,"Bath & Body ,Skin Care",3
"
										Biobelle
								",Forty Amsel,TRUE,FALSE,2015,,3
"
										bioClarity
								",David Hale and Cam Garner,TRUE,FALSE,2016,"Skin Care ,Makeup ,Gifts ,Bath & Body",10
"
										Biolage
								",Arnie Miller,FALSE,FALSE,1980,"Hair ,Gifts",59
"
										Bioré
								",Tomiro Nagase,FALSE,TRUE,1997,"Treatment & Serums ,Cleansers",7
"
										Biosilk
								",Farouk Shami,FALSE,TRUE,1986,"Treatment ,Styling Products ,Shampoo & Conditioner ,Travel Size",12
"
										Black Girl Sunscreen
								",Shontay Lundy,TRUE,TRUE,2016,,2
"
										Blind Barber
								",Jeff Laub,FALSE,FALSE,2010,"Men ,Hair",17
"
										BLINKING BEAUTÉ
								",Megan Naik,TRUE,FALSE,2000,,7
"
										Bliss
								",Marcia Kilgore,TRUE,FALSE,1996,"Skin Care ,Bath & Body ,Makeup ,Gifts",31
"
										BLK/OPL
								",Desiree Rogers and Cheryl Mayberry McKissack,TRUE,TRUE,1994,"Makeup ,Skin Care ,Gifts ,Bath & Body",18
"
										BLONDME
								",Tiffany Ward,TRUE,FALSE,2021,"
Shampoo & Conditioner, Treatment, Styling Products",19
"
										BLUME
								",Taran Ghatrora and Bunnt Ghatrora,TRUE,FALSE,2016,"Skin Care ,Bath & Body",11
"
										BOBBI BROWN
								",Bobbi Brown,TRUE,FALSE,1991,"Makeup ,Skin Care ,Gifts ,Tools & Brushes",33
"
										Bondi Boost
								",Phoebe Simmonds,TRUE,FALSE,2018,"Hair ,Skin Care ,Gifts ,Bath & Body",19
"
										Bondi Sands
								",Shaun Wilson and Blair James,FALSE,FALSE,2012,"Skin Care ,Bath & Body",19
"
										boscia
								",Gen Inomata and Lan Belinky,TRUE,FALSE,2002,"Skin Care, Tools & Brushes, Makeup, Bath & Body, Men",35
"
										BosleyMD
								",L. Lee Bosley,TRUE,FALSE,1974,"Hair ,Skin Care ,Bath & Body ,Men",22
"
										Braun
								",Max Braun,FALSE,FALSE,1921,,2
"
										Bravo Sierra
								",Justin Guilbert and Benjamin Bernet,FALSE,FALSE,2018,"Bath & Body ,Men ,Hair ,Skin Care",16
"
										Briogeo
								",Nancy Twine,TRUE,TRUE,2013,"Hair ,Gifts ,Tools & Brushes ,Bath & Body",65
"
										Bumble and bumble
								",Michael Gordon,FALSE,FALSE,1977,"Hair ,Gifts",105
"
										Burberry
								",Thomas Burberry,FALSE,FALSE,1856,"Fragrance ,Men ,Gifts",17
"
										Burt's Bees
								",Burt Shavitz and Roxanne Quimby,TRUE,FALSE,1984,"Skin Care, Makeup, Gifts, Bath & Body",66
