Brands,Owner,Female,POC,Year Founded,Product Type,Number of Products
"
										I Heart Revolution
								",Adam Minto and Tom Allsworth,FALSE,FALSE,2015,"Makeup ,Gifts ,Skin Care ,Tools & Brushes",64
"
										ICONIC LONDON
								",Jade Elliott,TRUE,TRUE,2015,"Makeup ,Gifts ,Skin Care",12
"
										iDesign
								",Sarah Tanno,TRUE,FALSE,2022,"Makeup ,Tools & Brushes ,Hair",14
"
										IGK
								","Franck Izquierdo, Chase Kusero, Aaron Grenia and Leo Izquierdo",FALSE,FALSE,2016,"Hair, Gifts",38
"
										ILLUME
								",Lynette Reed,TRUE,FALSE,1994,,3
"
										Impressions Vanity
								",Kevin Choi,FALSE,TRUE,2014,,2
"
										Indeed Labs
								",Brandon Truax,FALSE,FALSE,2013,"Skin Care ,Makeup ,Bath & Body",25
"
										INDIE LEE
								",Suee Wagners,TRUE,FALSE,2013,"Skin Care ,Gifts",18
"
										Innersense Organic Beauty
								",Greg and Joanne Starkman,TRUE,FALSE,2005,"Hair ,Gifts",24
"
										INSERT NAME HERE
								",Sharon Pak and Jordynn Wynn,TRUE,FALSE,2018,"Hair ,Tools & Brushes ,Gifts",8
"
										InStyler
								",Linda Flowers,TRUE,FALSE,2008,"Tools & Brushes ,Hair ,Gifts",7
"
										Invisibobble
								",Sophie Trelles-Tvede,TRUE,FALSE,2012,"Tools & Brushes ,Hair",65
"
										IT Brushes For ULTA
								",Jamie Kern Lima,TRUE,FALSE,2014,"Tools & Brushes, Makeup, Gifts",49
"
										It Cosmetics
								",Jamie Kern Lima and Paulo Lima,TRUE,FALSE,2008,"Makeup, Skin Care, Gifts, Tools & Brushes",68
"
										It's A 10
								",Carolyn Aronson,TRUE,FALSE,2006,"Hair ,Gifts",52
J.Cat Beauty,Victor Chang,FALSE,TRUE,2013,"Makeup ,Tools & Brushes ,Gifts ,Skin Care",90
"
										J.R. Watkins
								",J. R. Watkins,FALSE,FALSE,1868,"Bath & Body ,Fragrance",11
"
										Jack Black
								","Curran Dandurand, Emily Dalton and Jeff Dandurand",TRUE,FALSE,2000,"Men ,Skin Care ,Bath & Body ,Hair ,Gifts ,Fragrance ,Makeup",42
"
										Jaclyn Cosmetics
								",Jaclyn Roxanne Hill,TRUE,FALSE,2014,"Makeup ,Skin Care ,Gifts",20
"
										Jean Paul Gaultier
								","
										Jean Paul Gaultier
								",FALSE,FALSE,1982,Gifts,3
"
										Jergens
								",Andrew N. Jergens Sr. and Charles Geilfus,FALSE,FALSE,1882,,1
"
										Jimmy Choo
								",Jimmy Choo and Tamara Mellon,TRUE,FALSE,1996,"Fragrance ,Men ,Gifts",12
"
										John Varvatos
								","
										John Varvatos
								",FALSE,FALSE,1999,Gifts,5
"
										Joico
								",Steve Stefano,FALSE,TRUE,1975,"Shampoo & Conditioner ,Styling Products ,Travel Size ,Treatment",79
"
										Josh Rosebrook
								",Philippe Kahn,FALSE,FALSE,2008,"Moisturizers ,Cleansers ,Treatment & Serums",12
"
										Juice Beauty
								",Karen Behnke,TRUE,FALSE,2000,"Skin Care, Makeup, Gifts, Bath & Body",48
"
										Juicy Couture
								",Josie Maran,TRUE,FALSE,2007,"Fragrance ,Gifts",17
"
										Juvia's Place
								",Chichi Eburu,TRUE,TRUE,2016,"Makeup ,Gifts",58
Kate Somerville,Gela Nash and Pamela Skaist,TRUE,FALSE,1997,"
Skin Care, Bath & Body, Makeup, Gifts",36
"
										Kate Spade New York
								","
										Kate Spade
								",TRUE,FALSE,1993,"Fragrance ,Gifts",4
"
										Kenneth Cole New York
								","	Kenneth Cole (and Sam Edelman",FALSE,FALSE,1982,,1
"
										Kenra Professional
								",Henry Meyers,FALSE,FALSE,1920,"Hair, Gifts",100
"
										Keracolor
								",Jerry Wallis,FALSE,FALSE,2018,"Shampoo & Conditioner ,Hair Color",7
"
										Keranique
								",Tom Shipley,FALSE,FALSE,2014,"Hair ,Gifts",27
"
										Kestrel
								",Monica Reid,FALSE,FALSE,1981,,3
"
										Keys Soulcare
								",Alicia Keys,TRUE,TRUE,2021,"Skin Care ,Gifts ,Bath & Body ,Tools & Brushes ,Fragrance",27
"
										Kiehl's Since 1851
								",John Kiehl,FALSE,FALSE,1851,"Skin Care, Men, Bath & Body, Gifts, Hair, Fragrance",98
"
										KIKO Milano
								",Antonio Percassi,FALSE,FALSE,1997,"Makeup ,Skin Care ,Gifts",61
"
										Kinship
								",Christn Powell and Alison Haljun ,TRUE,FALSE,2019,"Skin Care ,Gifts ,Makeup ,Bath & Body",16
"
										Kitsch
								",Cassandra Thurswell,TRUE,FALSE,2010,"Hair ,Tools & Brushes ,Bath & Body ,Gifts ,Skin Care",135
"
										Klairs
								",Ryan Soungho Park,TRUE,TRUE,2009,"Global Skin Care ,Cleansers ,Treatment & Serums ,Moisturizers",6
"
										Klorane
								",Pierre Fabre,FALSE,FALSE,1966,"Hair ,Gifts",30
"
										Kneipp
								",Sebastian Kneipp,FALSE,FALSE,1891,"Bath & Body ,Gifts ,Skin Care ,Men",40
"
										Kopari Beauty
								",Kiana Cabell and Gigi Goldman,TRUE,FALSE,2015,"Bath & Body ,Skin Care ,Gifts ,Makeup ,Fragrance",42
"
										Kreyòl Essence
								",Yve-Car Momperousse,TRUE,TRUE,2010,"Hair ,Skin Care ,Bath & Body",27
"
										KRISTIN ESS HAIR
								",Kristin Ess,TRUE,FALSE,2008,"Hair ,Tools & Brushes ,Gifts",53
"
										KVD Beauty
								",Kat Von D,TRUE,FALSE,2008,"Makeup, Gifts, Tools & Brushes",37
"
										KYLIE COSMETICS
								",Kylie Jenner,TRUE,FALSE,2014,"Makeup ,Gifts ,Tools & Brushes",22
"
										KYLIE SKIN
								",Kylie Jenner,TRUE,FALSE,2019,"Skin Care ,Gifts ,Tools & Brushes ,Makeup ,Bath & Body",23
L'ange,Dalia Lange,TRUE,FALSE,2017,"Hair ,Tools & Brushes ,Gifts",24
"
										L'anza
								",David Berglass,FALSE,FALSE,2002,"Shampoo & Conditioner ,Treatment ,Styling Products ,Gifts & Value Sets",41
"
										L'Occitane
								",Olivier Baussan,FALSE,FALSE,1976,"Skin Care ,Bath & Body ,Gifts ,Nails ,Makeup",25
"
										L'Oréal
								",Eugène Schueller,FALSE,FALSE,1909,"Makeup, Hair, Skin Care, Gifts, Tools & Brushes, Bath & Body",166
"
										L'Oréal Professionnel
								",Eugène Schueller,FALSE,FALSE,1910,,1
"
										L.A. Girl
								",Amy Tan,TRUE,TRUE,1985,"Makeup ,Gifts ,Skin Care ,Tools & Brushes",67
"
										La Roche-Posay
								",René Levayer,TRUE,FALSE,1994,"Skin Care ,Bath & Body ,Men ,Makeup ,Gifts",46
"
										Lake & Skye
								",Courtney Somer,TRUE,FALSE,2015,"Fragrance ,Gifts",8
"
										Lancôme
								",Armand Petitjean,FALSE,FALSE,1935,"Makeup, Skin Care, Gifts, Fragrance, Tools & Brushes, Bath & Body",131
"
										Lano
								",Kirsten Carriol,TRUE,FALSE,2018,"Skin Care ,Bath & Body ,Makeup ,Gifts ,Nails",33
"
										LashFood
								",Faith Kim,TRUE,TRUE,2007,"Makeup ,Skin Care ,Gifts",5
"
										Laura Mercier
								",Laura Mercier,TRUE,FALSE,1996,"Gifts, Skin Care, Tools & Brushes",31
"
										LAVANILA
								",Danielle Raynor,TRUE,FALSE,2006,,3
"
										Le Mini Macaron
								",Christina Koa and François-Xavier Humbert,TRUE,TRUE,2015,"Nails ,Gifts ,Bath & Body",25
Leandro Limited,Leandro Rizzuto,FALSE,FALSE,1959,,3
"
										Lilly Lashes
								",Lilly Ghalich,TRUE,TRUE,2013,"Makeup ,Tools & Brushes",22
"
										Lime Crime
								",Doe Deere,TRUE,FALSE,2008,"Makeup ,Gifts ,Hair ,Tools & Brushes ,Skin Care",38
"
										Lip Smacker
								",Jesse Bell,TRUE,FALSE,1973,"Skin Care ,Makeup ,Gifts",3
"
										Live Tinted
								",Deepica Mutyala,TRUE,TRUE,2017,"Makeup ,Skin Care ,Bath & Body",7
"
										Living Proof
								",Jon Flint and Robert Langer,FALSE,FALSE,2005,"Hair, Gifts",69
"
										Locks & Mane
								",Jennifer Parrott,TRUE,FALSE,2015,"Hair ,Tools & Brushes",9
"
										LOLI Beauty
								",Tina Hedges,TRUE,FALSE,2014,"Skin Care ,Bath & Body ,Gifts ,Makeup",16
"
										LOOPS
								",Tom Szaky,FALSE,FALSE,2001,"Skin Care ,Gifts",11
"
										LORAC
								",Carol Shaw,TRUE,FALSE,1995,"Makeup, Gifts, Skin Care, Bath & Body",33
"
										Lottie London
								",Charlotte Knight,TRUE,FALSE,2014,"Makeup ,Gifts ,Tools & Brushes ,Skin Care",18
"
										Love Wellness
								",Lo Bosworth,TRUE,FALSE,2019,"Bath & Body ,Skin Care ,Gifts",22
"
										Loving Tan
								",Jo Hinton,TRUE,FALSE,2011,"Skin Care ,Bath & Body",9
"
										LUV SCRUB
								",Caroline Owusu-Ansah,TRUE,TRUE,2001,,5
M. Skin Care,Jakob Mohr,FALSE,FALSE,2020,"Moisturizers ,Cleansers",2
"
										MAC
								",Frank Toskan and Frank Angelo,FALSE,FALSE,1984,"Makeup, Gifts, Tools & Brushes, Skin Care",115
"
										Mad Hippie
								",Dana and Sam Stewart,TRUE,FALSE,2016,"Skin Care ,Bath & Body ,Gifts",21
"
										Madison Reed
								",Amy Errett,TRUE,FALSE,2013,"Hair ,Men ,Bath & Body",14
"
										MAHLI
								",Bec Sheehan,TRUE,TRUE,2016,,1
"
										Makeup Revolution
								",Adam Minto and Tom Allsworth ,FALSE,FALSE,2013,"Makeup, Gifts, Skin Care, Tools & Brushes, Bath & Body",166
"
										Manic Panic
								",Tish Bellomo and Snooky Bellomo,TRUE,FALSE,1977,"Hair Color ,Shampoo & Conditioner",7
"
										MANNA KADAR BEAUTY
								",Manna Kadar,TRUE,TRUE,2012,"Skin Care ,Bath & Body ,Gifts",10
"
										Marc Anthony
								",Marc Anthony Venere,FALSE,FALSE,1996,"Shampoo & Conditioner ,Styling Products ,Treatment",16
"
										Marc Jacobs
								",Robert Duffy,FALSE,FALSE,1984,"Fragrance ,Gifts",18
"
										Mario Badescu
								",Mario Badescu,FALSE,FALSE,1967,"Skin Care ,Gifts ,Makeup ,Bath & Body",95
"
										Matrix
								",Arnie Miller,FALSE,FALSE,1980,"Shampoo, Conditioner, Leave-In Conditioner, Co-Wash, Dry Shampoo",26
"
										Maui Babe
								",Christina Park,TRUE,FALSE,1996,"Skin Care ,Bath & Body",5
"
										Maui Moisture
								",Todd Christopher,FALSE,FALSE,2016,"Shampoo & Conditioner ,Styling Products ,Treatment",14
"
										Maybelline
								",Thomas Lyle Williams,FALSE,FALSE,1914,"Makeup, Gifts, Tools & Brushes, Skin Care",121
"
										MAËLYS Cosmetics
								",Yariv Citron and Daniel De Castro,FALSE,FALSE,2017,,3
"
										Meaningful Beauty
								",Jean-Louis Sebagh,FALSE,FALSE,2004,"Skin Care ,Gifts ,Makeup ,Bath & Body",13
"
										megababe
								",Katie Sturino,TRUE,FALSE,2017,"Bath & Body ,Skin Care ,Men ,Gifts",30
"
										MegRhythm
								",Michitaka Sawada,FALSE,TRUE,2017,,1
"
										Melanin Haircare
								",Whitney White and Taffeta White,TRUE,TRUE,2015,"Hair ,Gifts",5
"
										MELÉ
								",Esi Eggleston-Bracey and Sarah Irby,TRUE,TRUE,2018,"Treatment & Serums ,Moisturizers ,Cleansers",6
"
										Merci Handy
								",Roland Jais-Nielsen and Marty Louis,FALSE,FALSE,2012,"Hand & Foot Care ,Self Care & Wellness",7
"
										Miamica
								",Devra Miller,TRUE,FALSE,2000,"Hair ,Skin Care ,Bath & Body ,Makeup ,Tools & Brushes",17
"
										Michael Kors
								","
										Michael Kors
								",FALSE,FALSE,1981,"Fragrance ,Gifts",15
"
										Michael Todd Beauty
								",Lewis Hendler,FALSE,FALSE,2008,"Tools & Brushes ,Skin Care ,Bath & Body ,Nails",20
"
										Mielle Organics
								",Monique Rodriquez,TRUE,TRUE,2020,"Shampoo & Conditioner ,Treatment ,Styling Products",8
"
										Milani
								",Laurie Minc,TRUE,FALSE,2001,"Makeup ,Skin Care ,Gifts ,Tools & Brushes",85
"
										Milk + Honey
								",Alissa Bayer,TRUE,TRUE,2014,"Bath & Body ,Men ,Skin Care ,Gifts ,Fragrance",28
"
										Miss Spa
								",Kate Kimmerle,TRUE,FALSE,2012,"Skin Care ,Gifts ,Bath & Body",55
"
										Mixed Chicks
								",Kim Etheredge and Wendi Levy Kaaya,TRUE,TRUE,2004,"Shampoo & Conditioner ,Styling Products ,Treatment",10
"
										MONDAY Haircare
								",Jaimee Lupton,TRUE,FALSE,2021,"Conditioner ,Shampoo",10
"
										Moon
								",Kenneth Kruger,FALSE,FALSE,2018,"Bath & Body ,Gifts",18
"
										Morgan Taylor
								",Danny Haile,TRUE,TRUE,2007,"Nail Polish ,Top & Base Coats",4
"
										Morphe
								","	Chris Tawli and Linda Tawli",TRUE,FALSE,2008,"Makeup, Tools & Brushes, Gifts, Skin Care, Bath & Body",183
"
										Moschino
								",Franco Moschino,FALSE,FALSE,1983,"Fragrance ,Men",5
"
										MUGLER
								",Thierry Mugler,FALSE,FALSE,1973,"Perfume ,Rollerballs & Purse Sprays",14
"
										Murad
								",Howard Murad,FALSE,TRUE,1989,"Skin Care, Gifts, Men, Bath & Body",58
"
										My Clarins
								",Jacques Courtin-Clarins,FALSE,FALSE,1954,"Skin Care ,Gifts ,Makeup",13
"
										MyChelle
								",Myra Michelle Eby,TRUE,FALSE,2000,,1
"
										Mydentity
								",Guy Tang,FALSE,FALSE,2017,"Styling Products ,Shampoo & Conditioner ,Hair Color",7
NABLA,Alexandre Lebrun and Surge Biswas,FALSE,FALSE,2020,"Makeup ,Gifts",21
"
										Nads Natural
								",Sue Ismiel,TRUE,FALSE,1992,"Bath & Body ,Gifts",13
"
										Nail Tek
								",Thi Hoang,FALSE,TRUE,2008,"Nails ,Bath & Body",7
"
										Nailtopia
								",Amy Nguyen,TRUE,TRUE,2017,"Nails ,Gifts",31
"
										Nair
								","
Benjamin Nair",FALSE,FALSE,1972,"Body Moisturizers ,Bath & Shower",12
"
										NARS
								",François Nars,FALSE,FALSE,1994,"Makeup ,Gifts ,Skin Care",43
"
										Naturalicious
								",Gwen Jimmere,TRUE,TRUE,2013,"Hair ,Gifts",11
"
										Nemat
								",Mike Nemat,FALSE,FALSE,1994,"Fragrance ,Gifts",4
"
										NEST Fragrances
								",Laura Slatkin,TRUE,FALSE,2008,"Fragrance ,Gifts ,Bath & Body",14
"
										Neutrogena
								",Emanuel Stolaroff,FALSE,FALSE,1930,"Skin Care ,Bath & Body ,Makeup ,Tools & Brushes",94
"
										Nexxus
								",Jheri Redding,FALSE,FALSE,1979,"Shampoo & Conditioner ,Treatment ,Styling Products",20
"
										Nioxin
								",Eva Graham,TRUE,FALSE,1987,"Hair, Men, Gifts",50
"
										Nivea
								",Oscar Troplowitz,FALSE,FALSE,1911,"Bath & Body ,Skin Care ,Men",13
"
										No7
								","
Florence Boot",TRUE,FALSE,1935,"Skin Care, Gifts, Makeup, Nails, Bath & Body",46
"
										Not Your Mother's
								",Bethany Pagliarulo,TRUE,FALSE,2010,"Hair, Gifts",78
"
										Noughty
								",Rachel Parsonage and Lorna Mitchell,TRUE,FALSE,2016,"Shampoo & Conditioner ,Treatment ,Styling Products",27
"
										noyah
								",Joshua Gordon,FALSE,FALSE,2014,"Skin Care ,Gifts",2
"
										Nude Sugar
								",Toni Braxton,TRUE,TRUE,2021,"Bath & Body ,Skin Care ,Fragrance",9
"
										NUDESTIX
								",Jenny Frankel and Taylor Frankel,TRUE,FALSE,2013,"Makeup ,Skin Care ,Gifts",38
"
										Nurse Jamie
								",Jamie Sue Sherrill,TRUE,FALSE,2008,"Skin Care ,Tools & Brushes ,Bath & Body",7
"
										NYX Professional Makeup
								",Toni Ko,TRUE,TRUE,1999,"Makeup, Gifts, Tools & Brushes, Skin Care",144
"
										N°1 DE CHANEL
								",Olivier Polge,TRUE,FALSE,2022,"Skin Care ,Makeup ,Gifts ,Bath & Body",9
Ofra Cosmetics,Ofra and David Gaito,TRUE,FALSE,1994,"Makeup ,Gifts ,Skin Care ,Tools & Brushes",45
"
										OGX
								",Todd Christopher,FALSE,FALSE,1984,"Shampoo & Conditioner, Styling Products, Treatment",45
"
										Oh K!
								",Kim Chi,TRUE,TRUE,2015,"Skin Care ,Bath & Body",16
"
										OLAPLEX
								",Dr. Eric Pressly and Dr. Craig Hawker,FALSE,FALSE,2014,"Hair ,Gifts",8
"
										Olay
								",Graham Wulff,FALSE,FALSE,1952,"Skin Care ,Bath & Body ,Tools & Brushes",29
"
										Olivia Garden
								",Jean & Micheline Rennette,TRUE,FALSE,1967,,43
"
										One Love Organics
								",Suzanne LeRoux,TRUE,FALSE,2010,"Skin Care ,Tools & Brushes ,Bath & Body",16
"
										OPI
								",George Schaeffer,FALSE,FALSE,1981,"Nails, Gifts, Bath & Body",54
"
										ORA
								",Will Smelko and Ronald Chang,FALSE,FALSE,2002,,2
"
										Oral-B
								",Robert W. Hutson,FALSE,FALSE,1950,Gifts,3
"
										Origins
								",Leonard Lauder,FALSE,FALSE,1990,"Skin Care, Gifts, Makeup, Bath & Body",50
"
										Orly
								",Jeff Pink,FALSE,FALSE,1975,"Nails ,Gifts",18
"
										OSEA
								",Jenefer Palmer,TRUE,FALSE,1982,"Skin Care ,Gifts ,Bath & Body ,Makeup",13
"
										Ouidad
								",Ouidad and Peter Wise,TRUE,TRUE,1983,"Hair ,Tools & Brushes ,Gifts",77
Pacifica,Brook Harvey-Taylor and Billy Taylor,TRUE,FALSE,1996,"Skin Care ,Bath & Body ,Makeup ,Fragrance ,Gifts ,Hair ,Nails ,Tools & Brushes",226
"
										Paco Rabanne
								",Paco Rabanne,FALSE,FALSE,1966,"Fragrance ,Men ,Gifts",11
"
										Parissa
								",Azar Moayeri,TRUE,TRUE,1983,"Bath & Body ,Tools & Brushes ,Skin Care",15
"
										Patchology
								",Chris Hobson,FALSE,FALSE,2006,"Skin Care ,Gifts ,Bath & Body",40
"
										PATTERN
								",Dave Wright and Melanie Alder,FALSE,FALSE,2013,"Hair, Tools & Brushes, Gifts, Bath & Body",50
"
										Paul Mitchell
								",John Paul DeJoria and Paul Mitchell,FALSE,FALSE,1980,"Hair, Gifts, Men, Tools & Brushes, Bath & Body, Fragrance",159
"
										PEACH & LILY
								",Alicia Yoon,TRUE,TRUE,2012,"Skin Care ,Gifts ,Makeup ,Bath & Body",24
"
										Peach Slices
								",Alicia Yoon,TRUE,TRUE,2012,"Skin Care ,Gifts",13
"
										Persona
								",Rick Song and Charles Yeh,FALSE,TRUE,2015,"Makeup ,Gifts ,Tools & Brushes",16
"
										Peter Thomas Roth
								",Peter Thomas Roth,FALSE,FALSE,1993,"Skin Care, Gifts, Men, Makeup, Bath & Body",59
"
										Petite n Pretty
								",Samantha Cutler,TRUE,FALSE,2018,"Makeup ,Gifts ,Tools & Brushes ,Skin Care ,Hair ,Fragrance",31
"
										Philosophy
								",Cristina Carlino,TRUE,FALSE,1996,"Skin Care, Fragrance, Bath & Body, Gifts, Hair, Nails, Makeup",106
"
										Physicians Formula
								",Frank Crandall,FALSE,FALSE,1937,"Makeup ,Gifts ,Skin Care",25
"
										Pipette
								",Alex Spector,FALSE,FALSE,1996,"Bath & Body ,Skin Care ,Hair ,Gifts",25
"
										Pirette
								",Griffin Coon,FALSE,FALSE,2014,"Fragrance ,Bath & Body ,Gifts ,Hair",9
"
										PMD
								",Philippe d'Offay,FALSE,FALSE,1998,"Skin Care ,Tools & Brushes ,Bath & Body ,Men ,Makeup",29
"
										Polder
								",Jennifer Hofmeijer,TRUE,FALSE,2016,,1
"
										Poo~Pourri
								",Suzy Batiz,TRUE,FALSE,2007,"Self Care & Wellness ,Bath & Body Accessories ,Travel Size",5
"
										Prada
								",Mario Prada,FALSE,FALSE,1913,"Fragrance ,Men",12
"
										Pravana
								",Steve Goddard,FALSE,FALSE,2004,"Shampoo & Conditioner ,Travel Size ,Treatment",22
"
										Proactiv
								",Katie Rodan and Kathy Fields,TRUE,FALSE,1995,"Skin Care ,Men ,Gifts ,Bath & Body",23
"
										Punky Colour
								",Jerome Russell,FALSE,FALSE,1992,"Hair Color ,Shampoo & Conditioner",6
"
										Pura d'or
								",Bruno Lima and Richie Stapler,FALSE,FALSE,2011,"Hair ,Men",13
"
										Pureology
								",Jim Markham,FALSE,FALSE,2001,"Hair, Gifts",57
"
										pursoma
								",Shannon Vaughn,TRUE,FALSE,2014,"Bath & Shower ,Body Moisturizers",7
"
										PYT Beauty
								",Amy Carr and Mary Schulman,TRUE,FALSE,2018,"Makeup ,Gifts",19
"
										PÜR
								",Jay Klein,FALSE,FALSE,2010,"Makeup, Skin Care, Gifts, Tools & Brushes",54
Qhemet Biologics,Felis Butler,TRUE,TRUE,2004,"Shampoo & Conditioner ,Treatment ,Styling Products",8
Ralph Lauren,Ralph Lauren,FALSE,FALSE,1967,"Fragrance ,Men ,Gifts",16
"
										RapidHair
								",Rob Trow,FALSE,FALSE,2014,,1
"
										Rapidlash
								",Rob Trow,FALSE,FALSE,2008,"Lash Primer & Serums ,Eyebrows ,Mascara",4
"
										Real Techniques
								",Samantha Chapman and Nicola Haste,TRUE,FALSE,2011,"Tools & Brushes ,Makeup ,Gifts ,Skin Care",54
"
										Rebels Refinery
								",Eric Fallon,FALSE,FALSE,2012,,4
"
										Redken
								",Jheri Redding,FALSE,FALSE,1960,"
Hair, Men, Gifts",141
"
										Remington
								",Eliphalet Remington,FALSE,FALSE,1816,"Tools & Brushes ,Bath & Body ,Men ,Hair ,Gifts",9
"
										Revlon
								",Charles Revson,FALSE,FALSE,1932,"Makeup, Tools & Brushes, Bath & Body, Nails, Hair, Gifts, Skin Care, Men",100
"
										Revolution PRO
								",Andy Quildan,FALSE,FALSE,2012,"Makeup ,Gifts",9
"
										Riki Loves Riki
								",Wanchen and Erik Kaiser,FALSE,FALSE,2020,,4
"
										RITUALS
								",Raymond Cloosterman,FALSE,FALSE,2000,"Bath & Body ,Gifts ,Fragrance",25
"
										Rituel de Fille
								","Katherine, Caroline, and Michelle Ramos",TRUE,FALSE,2014,"Makeup ,Skin Care",5
"
										Rizos Curls
								",Julissa Prado,TRUE,TRUE,2017,"Hair ,Tools & Brushes ,Gifts",12
"
										Rosebud Perfume Co.
								",George F. Smith ,FALSE,FALSE,1895,"Skin Care ,Gifts",8
"
										ROSEN
								",Harris Rosen,FALSE,FALSE,1974,"Treatment & Serums ,Cleansers ,Moisturizers",5
"
										Rusk
								",Irvine and Louise Rusk,TRUE,FALSE,1993,"Shampoo & Conditioner ,Treatment ,Styling Products",15
Sacheu,Sarah Cheung,TRUE,TRUE,2020,"Skin Care ,Tools & Brushes ,Gifts",4
"
										Sagely Naturals
								",Kerrigan Behrens and Kaley Nichol,TRUE,FALSE,2015,"Self Care & Wellness ,Body Moisturizers",6
"
										Sally Hansen
								","
										Sally Hansen
								",TRUE,FALSE,1946,"Nails, Bath & Body, Gifts, Hair",80
"
										SAND & SKY
								",Sarah Hamilton and Stephanie Michel,TRUE,FALSE,2017,"Skin Care ,Bath & Body",8
"
										Sara Happ
								",Sara Happ,TRUE,FALSE,2005,"Skin Care ,Makeup ,Gifts",10
"
										Schick
								",Jacob Schick,FALSE,FALSE,1926,"Bath & Body ,Tools & Brushes ,Men",12
"
										Schmidts
								",Jaime Schmidt,TRUE,FALSE,2010,"Skin Care ,Bath & Body",5
"
										SCRATCH
								",Mitchel Resnick and David Siegel,FALSE,FALSE,2007,,7
"
										Scünci
								",Lewis Hendler and Michael Todd,FALSE,FALSE,1959,"Tools & Brushes ,Hair ,Makeup ,Gifts",150
"
										Sebastian
								",Geri Cusenza and John Sebastian,FALSE,FALSE,1972,"Hair ,Men",44
"
										Seche
								",Bill and Charles Martens,FALSE,FALSE,1991,"Top & Base Coats ,Nail Care ,Nail Polish",5
"
										Secret
								",William Procter and James Gamble,FALSE,FALSE,1956,,4
"
										Seed Phytonutrients
								",Shane Wolf,FALSE,FALSE,2018,,1
"
										SEEN
								",Iris Rubin,TRUE,FALSE,2014,"Shampoo & Conditioner ,Treatment ,Styling Products ,Travel Size",13
"
										Sexy Hair
								",Michael O' Rourke,FALSE,FALSE,1998,"
Hair, Men, Gifts, Bath & Body",83
"
										SheaMoisture
								",Sofi Tucker and Richelieu Dennis,TRUE,TRUE,1991,"Hair, Bath & Body, Skin Care, Tools & Brushes, Men, Makeup",110
"
										Shimmer Lights
								",Prashant Thawani ,FALSE,TRUE,2010,"Hair ,Gifts",7
"
										Shiseido
								",Arinobu Fukuhara,FALSE,TRUE,1872,"Skin Care, Bath & Body, Tools & Brushes, Makeup, Gifts",32
"
										Silk'n
								",Moshe Mizrahy,FALSE,FALSE,2006,Tools & Brushes,2
"
										sk*p
								",April Hardwick and Mark Veeder,TRUE,FALSE,2020,"Skin Care ,Hair ,Bath & Body ,Men ,Gifts",6
"
										Skin Gym
								",Karina Sulzer,TRUE,FALSE,2017,"Skin Care ,Tools & Brushes",17
"
										SKIN&CO
								",Gabriel Balestra,FALSE,FALSE,2014,"Skin Care ,Gifts",11
"
										Skinfood
								",Yun-Ho Cho,FALSE,TRUE,1957,"Skin Care ,Bath & Body",20
"
										SkinKick
								",Matty Schirle,FALSE,FALSE,2016,"Skin Care ,Gifts",6
"
										Skinnydip
								",James Gold,FALSE,FALSE,2011,,5
"
										Skintimate
								",Jacob Schick,FALSE,FALSE,1993,Tools & Brushes,7
"
										Skyn Iceland
								",Sarah Kugelman,TRUE,FALSE,2003,"Skin Care ,Gifts ,Makeup",29
"
										SmartyPits
								",Stacia Guzzo,TRUE,FALSE,2014,,10
"
										Smashbox
								",Davis Factor and Dean Factor,FALSE,FALSE,1996,"Makeup, Gifts, Skin Care",52
"
										SNP
								",Park Seol-woong,FALSE,TRUE,2009,"Global Skin Care ,Moisturizers ,Cleansers ,Treatment & Serums",6
"
										Soap & Glory
								",Marcia Kilgore,TRUE,FALSE,2006,"Bath & Body, Skin Care, Makeup, Gifts",49
"
										SoCozy
								",Cozy Friedman,TRUE,FALSE,2002,"Hair ,Bath & Body",16
"
										Sorbus
								",Yong Kim,FALSE,TRUE,2016,,6
"
										Specific Beauty
								",Heather Woolery-Lloyd,TRUE,TRUE,2010,"Skin Care ,Gifts",10
"
										Spectrum
								",Sophie and Hannah Pycroft,TRUE,FALSE,2014,,1
"
										Spongeables
								",Elaine Binder,TRUE,FALSE,2003,"Bath & Body ,Nails ,Skin Care",7
"
										Spotlight Oral Care
								",Lisa Creaven,TRUE,FALSE,2016,"Bath & Body ,Tools & Brushes ,Gifts",15
"
										St. Moriz
								",Melanie Brownlow,TRUE,FALSE,2007,"Bath & Body ,Skin Care",10
"
										St. Tropez
								",Judy Naake,TRUE,FALSE,2007,"Bath & Body ,Gifts",31
"
										Stila
								",Jeanine Lobell,TRUE,FALSE,1994,"Makeup, Gifts",31
"
										STMNT Grooming Goods
								","Sofie Pok, Julius Arriola, and Miguel Gutierrez",TRUE,TRUE,2020,"Men ,Hair ,Gifts ,Bath & Body",16
"
										StriVectin
								",Joan Sing Malloy,TRUE,TRUE,2002,"Skin Care, Gifts, Bath & Body, Makeup",48
"
										Sugarbearhair
								",Nicole Nightly and Dan Morris,TRUE,FALSE,2015,"Gifts ,Bath & Body ,Skin Care",6
"
										Sun + Moon
								",Amber Ivie,TRUE,FALSE,2014,"Moisturizers ,Treatment & Serums ,Cleansers",6
"
										Sun Bum
								",Tom Rinks,FALSE,FALSE,2009,"Skin Care ,Bath & Body ,Hair ,Gifts ,Makeup",72
"
										SUNDAY RILEY
								",Sunday Riley,TRUE,FALSE,2009,"Skin Care ,Gifts ,Bath & Body ,Hair",25
